state,count_age_47.0,count_gender_male,count_armed_gun,count_race_White,count_flee_not,count_body_camera_False,count_signs_of_mental_illness_False,count_age_53.0,count_race_Asian,count_signs_of_mental_illness_True,count_age_23.0,count_armed_unarmed,count_race_Hispanic,count_age_18.0,count_age_39.0,count_armed_other,count_age_32.0,count_armed_replica,count_age_22.0,count_flee_car,count_age_25.0,count_armed_knife,count_race_Black,count_age_34.0,count_gender_female,count_body_camera_True,count_age_35.0,count_age_37.0,count_flee_foot,count_age_30.0,count_age_41.0,count_age_31.0,count_age_49.0,count_age_36.0,count_age_42.0,count_armed_blunt_object,count_age_28.0,count_armed_nan,count_age_33.0,count_age_71.0,count_age_29.0,count_age_43.0,count_age_68.0,count_age_75.0,count_age_24.0,count_age_27.0,count_age_48.0,count_race_Other,count_age_21.0,count_age_67.0,count_age_54.0,count_age_19.0,count_age_17.0,count_age_61.0,count_age_56.0,count_age_40.0,count_age_26.0,count_age_45.0,count_age_59.0,count_race_Unknown,count_armed_vehicle,count_race_Native American,count_age_38.0,count_age_51.0,count_age_74.0,count_age_46.0,count_age_57.0,count_age_16.0,count_age_50.0,count_age_20.0,count_age_nan,count_age_77.0,count_age_58.0,count_age_64.0,count_flee_other,count_age_52.0,count_age_63.0,count_age_60.0,count_age_44.0,count_armed_undetermined,count_age_66.0,count_age_83.0,count_age_72.0,count_age_76.0,count_age_62.0,count_age_55.0,count_age_69.0,count_age_86.0,"count_armed_other,gun",count_age_15.0,count_age_65.0,count_armed_unknown,count_age_6.0,count_flee_nan,"count_armed_blunt_object,blunt_object","count_armed_gun,knife",count_age_12.0,count_age_70.0,count_age_80.0,count_age_14.0,count_age_82.0,count_age_13.0,count_age_73.0,"count_armed_knife,blunt_object",count_age_91.0,count_age_79.0,count_gender_nan,"count_armed_vehicle,gun",count_age_81.0,count_age_78.0,count_age_84.0,count_age_89.0,"count_armed_gun,vehicle","count_armed_replica,vehicle","count_armed_blunt_object,knife","count_armed_knife,vehicle","count_armed_vehicle,knife,other",count_age_88.0,"count_race_White,Black,Native American","count_armed_knife,knife","count_race_Native American,Hispanic",count_age_8.0,count_age_92.0,"count_race_White,Hispanic",count_age_2.0,"count_armed_replica,knife","count_armed_other,blunt_object,knife","count_race_Black,Hispanic","count_race_White,Black",count_gender_non-binary,"count_armed_other,knife",count_age_85.0,count_age_4.0,"count_armed_vehicle,knife","count_armed_gun,other","count_armed_blunt_object,other"
MA,1,58,23,32,33,54,41,0,2,19,2,2,10,0,3,0,1,5,1,10,1,22,13,1,2,6,4,2,11,2,3,3,3,3,1,1,4,0,2,0,1,1,0,0,1,0,3,1,0,0,0,2,0,0,1,1,1,1,1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,4,172,113,85,111,150,134,4,2,44,3,12,4,4,1,1,6,5,5,23,3,23,52,6,6,28,5,7,13,3,4,5,3,4,5,6,9,0,8,0,3,8,1,0,4,4,4,3,0,0,2,4,2,1,1,7,1,2,0,31,7,1,4,3,0,5,0,0,1,4,0,0,2,1,6,0,1,1,7,5,1,0,0,0,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,3,101,57,60,61,60,76,1,5,29,6,8,4,0,2,0,4,2,3,10,1,25,24,4,4,45,3,5,12,4,4,6,1,4,1,4,3,0,4,0,2,2,1,0,6,5,1,0,3,1,0,1,0,1,0,3,0,2,1,5,1,7,3,0,0,0,1,1,2,4,0,0,0,0,3,2,0,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2,119,82,57,61,124,115,1,1,17,2,7,1,0,4,0,0,3,4,26,3,12,50,4,8,8,2,5,19,2,6,4,4,2,4,2,4,0,5,0,1,4,1,0,2,6,2,0,3,0,1,2,0,2,0,1,0,4,1,23,4,0,5,1,0,2,1,0,0,0,0,0,0,0,4,2,1,0,3,13,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,5,233,166,130,114,237,209,2,1,39,7,11,6,4,4,2,8,2,7,42,10,26,76,8,14,11,5,11,37,8,2,7,1,6,7,4,14,0,11,0,4,4,1,0,2,4,5,0,8,0,3,4,4,3,1,9,10,3,4,35,9,0,7,1,0,4,1,2,3,1,0,0,5,2,12,3,1,2,5,14,1,0,0,0,1,1,1,0,1,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,1,61,37,42,26,59,55,1,0,8,0,0,1,0,1,0,3,3,2,15,1,9,1,4,2,4,5,1,8,3,3,2,2,2,2,1,1,0,0,0,3,0,0,0,2,1,2,0,0,0,1,2,0,0,0,1,3,2,1,6,3,13,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,1,45,28,32,30,38,36,1,0,11,2,3,5,0,4,0,3,0,1,3,1,9,6,3,2,9,4,0,5,1,0,1,0,0,0,0,1,0,3,0,2,1,0,0,0,2,1,0,0,0,1,0,1,0,0,2,3,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NV,2,158,98,71,89,109,127,1,2,36,2,5,42,4,2,1,4,5,4,28,5,30,27,5,5,54,2,7,26,7,7,3,3,6,1,2,4,0,2,0,4,8,0,0,4,6,2,0,4,3,3,2,0,0,2,4,5,4,1,19,8,2,6,2,0,3,3,0,5,0,0,1,1,0,2,1,1,2,3,4,1,0,0,1,3,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,31,19,26,17,25,18,0,0,13,1,1,0,0,0,0,0,1,0,2,1,5,0,0,0,6,2,1,2,0,1,0,0,2,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,4,2,2,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NJ,5,101,44,30,54,89,83,0,3,21,3,3,12,3,7,1,5,7,2,11,2,28,44,2,2,15,1,4,13,1,3,3,4,5,4,4,1,0,3,0,2,1,1,1,6,3,1,0,1,0,0,1,0,1,4,1,1,2,2,15,5,0,2,0,0,4,1,0,1,1,0,0,0,0,0,1,0,1,1,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,3,195,136,40,97,172,174,0,2,33,6,12,108,3,2,1,6,5,3,42,6,22,5,8,10,35,6,7,33,4,6,9,2,12,4,6,8,0,8,1,8,3,0,1,3,5,4,1,6,0,0,3,1,1,1,3,6,4,1,41,4,7,5,2,0,4,1,1,2,3,0,2,4,1,7,6,1,0,2,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
NY,4,179,94,69,100,144,127,3,3,60,4,5,16,3,4,1,7,10,1,19,4,60,80,10,8,43,5,4,36,6,5,7,2,3,3,5,4,0,9,0,4,3,0,0,8,2,2,0,6,1,2,5,4,4,2,0,6,0,2,18,4,1,4,4,1,5,3,0,0,3,0,0,4,0,6,3,2,2,2,5,2,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,3,282,204,160,169,256,236,4,5,60,5,13,13,6,6,3,11,8,7,36,7,41,96,8,14,40,7,9,37,9,6,10,2,1,6,4,12,0,16,1,9,5,1,1,8,7,7,0,4,2,3,1,2,3,2,6,4,9,4,21,8,1,6,6,1,6,2,0,3,5,0,0,5,1,7,5,2,4,8,6,3,1,0,1,5,3,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,20,10,9,7,17,16,0,0,4,0,4,0,0,0,0,1,0,0,4,1,2,1,1,0,3,4,1,3,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,7,268,174,153,164,223,217,3,2,67,10,20,3,5,4,2,6,13,8,39,13,41,99,11,16,61,7,6,32,6,9,6,4,7,6,4,4,0,10,0,4,5,1,0,11,13,6,2,6,1,5,5,1,1,3,2,9,5,5,25,10,0,7,2,0,5,3,5,5,4,0,0,5,2,14,3,2,5,4,10,1,0,1,2,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,5,248,145,149,137,210,208,2,3,48,1,19,19,3,13,6,8,2,2,47,11,48,44,9,7,46,7,5,28,12,3,7,4,7,9,8,6,0,1,0,8,6,0,0,10,9,5,0,6,1,5,3,2,0,3,10,6,3,1,22,10,19,6,2,0,4,1,2,4,5,0,0,3,1,13,4,1,2,2,8,1,1,2,0,0,3,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,2,155,85,102,80,146,116,0,0,42,1,7,13,2,5,1,6,9,3,31,3,32,13,4,3,12,3,4,17,11,2,6,6,4,4,4,2,0,4,0,5,1,1,0,5,8,3,0,1,0,2,2,2,0,1,6,5,3,2,29,3,1,3,4,0,3,0,1,2,3,0,1,1,0,2,1,0,1,6,11,0,0,0,0,0,4,2,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,7,205,127,106,127,196,165,2,4,50,4,14,11,4,3,1,4,6,3,29,4,33,69,6,10,19,7,6,24,2,5,10,3,7,3,3,6,0,8,0,9,3,1,0,3,12,6,0,2,1,7,3,2,0,1,9,4,1,6,25,11,0,7,3,0,1,3,1,2,9,0,1,0,1,10,1,1,1,3,7,0,0,0,0,3,1,2,0,0,1,1,3,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,8,4,5,1,5,7,0,0,1,0,0,1,0,0,0,1,1,0,5,0,0,2,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,3,156,109,88,83,141,134,0,2,29,2,6,3,0,6,2,6,0,3,28,4,18,56,8,6,22,6,4,17,1,3,3,2,4,2,2,6,0,6,1,4,6,1,0,4,7,2,0,1,1,2,2,1,1,4,6,5,2,1,14,2,0,2,5,0,2,2,0,3,4,0,0,2,1,5,2,3,2,4,11,0,0,0,0,2,4,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SD,0,32,21,16,16,24,21,1,1,11,0,1,0,0,0,0,0,0,1,4,2,4,0,1,0,8,2,2,3,2,2,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,5,1,10,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,6,258,165,171,141,243,219,3,1,57,3,9,8,3,13,1,9,5,2,48,8,47,70,7,17,33,7,8,32,9,4,12,8,7,7,4,10,0,10,1,8,10,1,0,5,7,5,1,2,1,8,4,2,1,3,9,7,4,3,24,16,0,5,6,2,3,2,0,5,4,0,0,1,4,11,4,1,2,6,16,0,0,0,2,3,2,0,1,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
TX,16,889,595,362,503,792,789,9,12,155,18,60,326,19,21,12,21,20,20,157,30,135,219,33,52,152,30,27,128,36,23,31,14,26,18,20,27,0,32,1,37,21,5,1,21,34,12,5,21,3,6,17,12,8,6,22,23,25,6,19,31,1,26,17,1,26,7,7,9,19,0,0,5,5,40,11,4,11,16,27,3,0,1,2,3,11,1,0,1,4,2,14,1,0,1,3,0,2,1,1,0,1,1,1,0,0,0,4,1,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UT,0,124,69,70,63,86,97,2,2,28,4,4,20,1,4,0,4,5,3,24,3,23,8,4,0,39,2,4,14,4,5,8,1,4,3,4,5,0,7,0,3,1,0,1,1,3,3,0,1,0,0,1,2,1,3,3,3,2,0,22,4,3,6,0,0,3,1,1,3,2,0,0,0,1,6,0,0,1,3,7,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,15,5,11,6,11,9,0,0,6,0,2,1,0,1,0,2,3,0,3,0,2,0,2,0,4,2,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,0,169,110,90,104,150,142,2,1,38,4,11,5,5,4,1,3,4,2,23,7,30,66,5,11,30,6,5,23,1,4,9,3,4,3,6,6,0,2,2,9,5,0,0,4,4,2,1,0,1,3,4,0,2,1,5,6,5,0,16,2,1,7,1,1,4,5,1,1,3,0,0,5,3,9,2,1,1,5,6,1,0,0,0,1,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,3,256,135,107,148,229,199,3,16,68,4,13,31,3,10,5,6,5,6,38,9,63,36,6,8,38,9,9,35,8,8,10,3,17,3,5,6,0,8,0,9,12,0,0,6,6,3,1,3,1,2,2,1,2,1,11,5,5,3,68,13,7,8,3,0,5,2,1,7,6,0,0,3,1,7,4,0,3,5,16,0,0,0,0,1,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,92,59,64,49,88,81,2,1,15,0,3,0,0,3,1,3,4,0,16,5,10,11,3,2,8,2,1,11,1,1,0,2,4,4,4,5,0,2,0,0,5,0,0,0,0,1,0,2,0,1,0,0,0,1,0,5,3,2,20,1,0,2,0,1,2,0,0,5,0,0,0,1,0,2,4,1,1,1,5,0,0,0,0,2,3,1,0,1,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,4,154,99,98,89,114,122,0,4,36,4,6,10,2,2,2,8,6,2,27,7,33,35,4,3,44,5,6,16,6,2,7,2,2,4,0,3,0,7,0,2,4,0,0,1,3,2,0,3,0,2,4,1,2,0,4,4,5,2,6,4,5,7,3,1,3,1,0,6,0,0,1,3,2,6,1,1,1,1,1,1,0,0,0,2,0,2,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WY,2,32,21,22,15,33,27,0,0,6,1,2,2,0,5,0,0,1,1,6,0,5,2,0,1,0,0,1,4,0,0,2,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,5,1,2,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
